Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
CASH,2,4,88.79000092,239.9799957,Advance shipping,0,43,Camping & Hiking,Hickory,EE. UU.,XXXXXXXXX,Mary,11599,Malone,XXXXXXXXX,Consumer,NC,8708 Indian Horse Highway,28601,7,Fan Shop,35.77666092,-81.36262512,LATAM,Mexico City,México,11599,1/1/15 0:00,1,957,60,0.200000003,1,299.980011,0.370000005,1,299.980011,239.9799957,88.79000092,Central America,Distrito Federal,CLOSED,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,1/3/15 0:00,Standard Class
PAYMENT,3,4,91.18000031,193.9900055,Advance shipping,0,48,Water Sports,Chicago,EE. UU.,XXXXXXXXX,David,256,Rodriguez,XXXXXXXXX,Consumer,IL,7605 Tawny Horse Falls,60625,7,Fan Shop,41.83272171,-87.98048401,LATAM,Dos Quebradas,Colombia,256,1/1/15 0:21,2,1073,6,0.029999999,2,199.9900055,0.469999999,1,199.9900055,193.9900055,91.18000031,South America,Risaralda,PENDING_PAYMENT,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,1/4/15 0:21,Standard Class
PAYMENT,3,4,68.25,227.5,Advance shipping,0,24,Women's Apparel,Chicago,EE. UU.,XXXXXXXXX,David,256,Rodriguez,XXXXXXXXX,Consumer,IL,7605 Tawny Horse Falls,60625,5,Golf,41.83272171,-87.98048401,LATAM,Dos Quebradas,Colombia,256,1/1/15 0:21,2,502,22.5,0.090000004,3,50,0.300000012,5,250,227.5,68.25,South America,Risaralda,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,1/4/15 0:21,Standard Class
PAYMENT,3,4,36.47000122,107.8899994,Advance shipping,0,18,Men's Footwear,Chicago,EE. UU.,XXXXXXXXX,David,256,Rodriguez,XXXXXXXXX,Consumer,IL,7605 Tawny Horse Falls,60625,4,Apparel,41.83272171,-87.98048401,LATAM,Dos Quebradas,Colombia,256,1/1/15 0:21,2,403,22.10000038,0.170000002,4,129.9900055,0.340000004,1,129.9900055,107.8899994,36.47000122,South America,Risaralda,PENDING_PAYMENT,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,1/4/15 0:21,Standard Class
CASH,5,4,33.59000015,159.9400024,Late delivery,1,46,Indoor/Outdoor Games,San Antonio,EE. UU.,XXXXXXXXX,Brian,8827,Wilson,XXXXXXXXX,Home Office,TX,8396 High Corners,78240,7,Fan Shop,29.52001,-98.63741303,LATAM,Dos Quebradas,Colombia,8827,1/1/15 1:03,4,1014,39.97999954,0.200000003,8,49.97999954,0.209999993,4,199.9199982,159.9400024,33.59000015,South America,Risaralda,CLOSED,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,1/6/15 1:03,Standard Class
CASH,5,4,60.27000046,123,Late delivery,1,24,Women's Apparel,San Antonio,EE. UU.,XXXXXXXXX,Brian,8827,Wilson,XXXXXXXXX,Home Office,TX,8396 High Corners,78240,5,Golf,29.52001,-98.63741303,LATAM,Dos Quebradas,Colombia,8827,1/1/15 1:03,4,502,27,0.180000007,7,50,0.49000001,3,150,123,60.27000046,South America,Risaralda,CLOSED,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,1/6/15 1:03,Standard Class
CASH,5,4,4.099999905,40.97999954,Late delivery,1,40,Accessories,San Antonio,EE. UU.,XXXXXXXXX,Brian,8827,Wilson,XXXXXXXXX,Home Office,TX,8396 High Corners,78240,6,Outdoors,29.52001,-98.63741303,LATAM,Dos Quebradas,Colombia,8827,1/1/15 1:03,4,897,9,0.180000007,5,24.98999977,0.100000001,2,49.97999954,40.97999954,4.099999905,South America,Risaralda,CLOSED,,897,40,,http://images.acmesports.sports/Team+Golf+New+England+Patriots+Putter+Grip,Team Golf New England Patriots Putter Grip,24.98999977,0,1/6/15 1:03,Standard Class
CASH,5,4,26.12999916,296.9500122,Late delivery,1,17,Cleats,San Antonio,EE. UU.,XXXXXXXXX,Brian,8827,Wilson,XXXXXXXXX,Home Office,TX,8396 High Corners,78240,4,Apparel,29.52001,-98.63741303,LATAM,Dos Quebradas,Colombia,8827,1/1/15 1:03,4,365,3,0.01,6,59.99000168,0.090000004,5,299.9500122,296.9500122,26.12999916,South America,Risaralda,CLOSED,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,1/6/15 1:03,Standard Class
DEBIT,6,4,9.380000114,82.97000122,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,XXXXXXXXX,Mary,11318,Henry,XXXXXXXXX,Consumer,PR,3047 Silent Embers Maze,725,7,Fan Shop,18.23423767,-66.37060547,LATAM,Dos Quebradas,Colombia,11318,1/1/15 1:24,5,1014,16.98999977,0.170000002,11,49.97999954,0.109999999,2,99.95999908,82.97000122,9.380000114,South America,Risaralda,COMPLETE,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,1/7/15 1:24,Standard Class
DEBIT,6,4,143.9799957,299.9500122,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Mary,11318,Henry,XXXXXXXXX,Consumer,PR,3047 Silent Embers Maze,725,4,Apparel,18.23423767,-66.37060547,LATAM,Dos Quebradas,Colombia,11318,1/1/15 1:24,5,365,0,0,10,59.99000168,0.479999989,5,299.9500122,299.9500122,143.9799957,South America,Risaralda,COMPLETE,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,1/7/15 1:24,Standard Class
DEBIT,6,4,109.5500031,248.9799957,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,XXXXXXXXX,Mary,11318,Henry,XXXXXXXXX,Consumer,PR,3047 Silent Embers Maze,725,7,Fan Shop,18.23423767,-66.37060547,LATAM,Dos Quebradas,Colombia,11318,1/1/15 1:24,5,957,51,0.170000002,12,299.980011,0.439999998,1,299.980011,248.9799957,109.5500031,South America,Risaralda,COMPLETE,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,1/7/15 1:24,Standard Class
DEBIT,6,4,92.23999786,245.9799957,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,XXXXXXXXX,Mary,11318,Henry,XXXXXXXXX,Consumer,PR,3047 Silent Embers Maze,725,7,Fan Shop,18.23423767,-66.37060547,LATAM,Dos Quebradas,Colombia,11318,1/1/15 1:24,5,957,54,0.180000007,9,299.980011,0.379999995,1,299.980011,245.9799957,92.23999786,South America,Risaralda,COMPLETE,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,1/7/15 1:24,Standard Class
DEBIT,6,4,34.93999863,109.1900024,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,XXXXXXXXX,Mary,11318,Henry,XXXXXXXXX,Consumer,PR,3047 Silent Embers Maze,725,4,Apparel,18.23423767,-66.37060547,LATAM,Dos Quebradas,Colombia,11318,1/1/15 1:24,5,403,20.79999924,0.159999996,13,129.9900055,0.319999993,1,129.9900055,109.1900024,34.93999863,South America,Risaralda,COMPLETE,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,1/7/15 1:24,Standard Class
DEBIT,3,2,120.9499969,251.9799957,Late delivery,1,43,Camping & Hiking,Miami,EE. UU.,XXXXXXXXX,Mary,4530,Smith,XXXXXXXXX,Consumer,FL,1073 Green Leaf Green,33161,7,Fan Shop,25.88852501,-80.17294312,LATAM,São Paulo,Brasil,4530,1/1/15 2:06,7,957,48,0.159999996,15,299.980011,0.479999989,1,299.980011,251.9799957,120.9499969,South America,São Paulo,COMPLETE,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,1/4/15 2:06,Second Class
DEBIT,3,2,4.579999924,77.55000305,Late delivery,1,41,Trade-In,Miami,EE. UU.,XXXXXXXXX,Mary,4530,Smith,XXXXXXXXX,Consumer,FL,1073 Green Leaf Green,33161,6,Outdoors,25.88852501,-80.17294312,LATAM,São Paulo,Brasil,4530,1/1/15 2:06,7,926,2.400000095,0.029999999,16,15.98999977,0.059999999,5,79.94999695,77.55000305,4.579999924,South America,São Paulo,COMPLETE,,926,41,,http://images.acmesports.sports/Glove+It+Imperial+Golf+Towel,Glove It Imperial Golf Towel,15.98999977,0,1/4/15 2:06,Second Class
DEBIT,3,2,78.40000153,195.9900055,Late delivery,1,48,Water Sports,Miami,EE. UU.,XXXXXXXXX,Mary,4530,Smith,XXXXXXXXX,Consumer,FL,1073 Green Leaf Green,33161,7,Fan Shop,25.88852501,-80.17294312,LATAM,São Paulo,Brasil,4530,1/1/15 2:06,7,1073,4,0.02,14,199.9900055,0.400000006,1,199.9900055,195.9900055,78.40000153,South America,São Paulo,COMPLETE,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,1/4/15 2:06,Second Class
